id,cmt,general,price,quality,service,stylefood,location,background
2001.0,"
 Kem Dừa Mã Lai 14 Lê Đình Lý ",,,,,,,
2002.0,"
 Bông lan trứng muối mix gà cay ",,,,,,,
2003.0,"
 Trước giờ qua đây toàn uống sinh tố với ép, lần đầu thử ăn hoa quả trộn! Mình thấy cũng khá ngon, bát cũng khá to và nhiều mà có 50k😙 Nói chung là ổn vì ở đây cũng nhiều loại sinh tố vs ép quá, mỗi lần nghĩ nên xem uống gì là mệt hết cả não ",1.0,1.0,1.0,,1.0,,
2004.0,"
 Quán nằm trong hẻm nên cũng ko đông lắm, không gian quán thoáng , phục vụ cũng niềm nở, món ăn thì phải đợi khoảng 5 phút thì có từng món.

Cơm trộn hơi lạc.

Món gà cay phô-mai là kinh khủng nhất , mới nghe tưởng đùi gà chiên cay ai ngờ đem ra là như mấy cục thịt luộc rồi chặt khúc ra xong quăng vô xí phô mai và sốt, dở dễ sợ.

Được cái bánh gạo nó đặc, dẻo, ko bị bở như những chỗ khác.

Các món khác thì ăn được thôi chứ không gọi là ngon.

Quán thì được cái đồ ăn phong phú đa dạng nhưng do không chuyên cái món gì nên thành ra mỗi món thì tàm tạm thôi. Chứ không có món gì quá ấn tượng

Chỗ để xe cũng thoải mái. ",,,-1.0,0.0,1.0,0.0,1.0
2005.0,"
 Cuối tuần vừa rồi khi đn bước vào mùa mưa. Và mình đã đến bf world để thưởng thức bf, khi không biết đi đâu. Và thật bất ngờ sự lựa chọn không nằm trong dự định lại đem đến cho mình một bửa tối ngon miệng, thức ăn đậm đà, không gian được trang trí đơn giãn và hài hòa, nhân viên thân thiện và lịch sự, đồ ăn thì luôn nghi ngút khói nóng hổi. Với sự thân thiện của nhân viên mời chào các món ăn nhiệt tình khi mình đi qua, chỉ với 235nghin, thật sự là trên cả tuyệt vời. Mình sẻ lại đến để thưởng thức món bún chả hà nội và món bún bò huế. Lần đầu được thưởng thức rất tuyệt vời. Nếu các bạn còn lưởng lự hãy đến thử như mình. Và đảm bảo các bạn sẽ được thưởng thức một bữa ăn đầy đủ hương vị trong nước và quốc tế. Chỉ với 235 nghìn để thưởng thức rất nhiều món ăn được quy tụ tại sao lại không thử nhỉ. Mình sẽ quay lại. ",1.0,1.0,1.0,1.0,,,
2006.0,"
 Quán cf mát lạnh ,sẽ quay lại ",1.0,,1.0,,,,
2007.0,"

Món ăn ngon , tươi @_@ !",,,1.0,,,,
2008.0,"

 Nhân viên thân thiện, lịch sự.",,,,1.0,,,
2009.0,"
Nhân viên ko giao hàng tới người sử dụng  đề nghị xem lại nhân viên giao hàng",,,,-1.0,,,
2010.0,"
 Bobapop nguyễn xiển ngay ngã tư nguyễn trãi nguyễn xiển hàng khá nhỏ mình nghĩ phù hợp mang về hơn. Như mình, mình mua về uống trong lúc chờ xe về quê.
Nhân viên ở đây nhiệt tình vui vẻ làm mình khá thoải mái. 
Mình thích uống vị gì mát mát nên gọi trà sữa bạc hà 32k với 5k trân châu trắng . Nhiều nơi vị bạc hà hay bị ngọt gắt nhưng ở đây uống khá vừa nếu chọn 70% đường chân trâu giòn và nhiều nữa. Ngoài ra còn vị chanh leo chua chua ngọt ngọt cũng rất ngon. 
Ở đây có thẻ tích điểm nhé 10 cốc sẽ được giảm 25k hay sao ấy . ",,0.0,1.0,1.0,,1.0,0.0
2011.0,"
 Mấy hệ thống Highlands mình thấy đều vị trí thuận lợi, mặt tiền thoáng mát dễ tìm :))) Hiện đang có ctr tặng voucher các combo nên cứ đến uống là bạn sẽ đc phát. Đồ uống thì ổn. Quán có bán bánh mì. Mình ... ",,,1.0,1.0,,1.0,
2012.0,"
 KHÔNG TÔN TRỌNG NOTE CỦA KH ",,,,-1.0,,,
2013.0,"

Phục vụ : chậm chạp kinh khủng.

Coi thấy menu cũng hấp dẫn có nhiều món mà mấy quán hàn khác không có nên mình rất hào hứng đi ăn. Cơ mà đến nơi thì thất vọng toàn tập. 

",-1.0,,,-1.0,1.0,,
2014.0,"
 Đồ ăn vặt rất nhiều và rất ngon, ko món nào giống món nào :p ",,,1.0,,,,
2015.0,"
 Mai Mèoo, foodee_ddxf6329 Dat lam, Kiều Oanh Hoàng Trần ",,,,,,,
